City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Skive,DK,56.5667,9.0333,39.72,94,100,3.0,light rain
80,Garmsar,IR,35.2182,52.3409,53.02,37,55,7.34,broken clouds
81,New Norfolk,AU,-42.7826,147.0587,71.1,46,99,3.0,overcast clouds
82,Lompoc,US,34.6391,-120.4579,52.57,74,0,18.99,clear sky
83,Angoram,PG,-4.0625,144.0661,81.01,86,49,3.83,scattered clouds
84,Bardiyah,LY,31.7561,25.0865,56.52,70,93,6.8,overcast clouds
85,Cidreira,BR,-30.1811,-50.2056,69.53,83,0,9.17,clear sky
86,Mataura,NZ,-46.1927,168.8643,52.88,71,0,1.88,clear sky
87,Taoudenni,ML,22.6783,-3.9836,63.61,22,100,18.45,overcast clouds
88,Klaksvik,FO,62.2266,-6.589,32.92,98,100,17.54,snow
89,Fort Nelson,CA,58.8053,-122.7002,-4.41,84,100,3.44,light snow
90,Taltal,CL,-25.4,-70.4833,65.66,83,15,1.79,few clouds
91,Saskylakh,RU,71.9167,114.0833,-29.94,99,11,6.58,few clouds
92,Chlorakas,CY,34.8042,32.4083,61.83,66,20,5.75,few clouds
93,Bredasdorp,ZA,-34.5322,20.0403,66.27,88,100,9.22,light rain
94,Barranca De Upia,CO,4.5696,-72.9668,76.68,60,52,2.01,broken clouds
95,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,86,71,9.62,broken clouds
96,Waingapu,ID,-9.6567,120.2641,85.23,68,90,7.61,overcast clouds
97,Pangnirtung,CA,66.1451,-65.7125,-34.22,97,98,2.68,overcast clouds
98,Yulara,AU,-25.2406,130.9889,98.44,15,2,11.5,clear sky
99,Hobart,AU,-42.8794,147.3294,71.46,60,75,17.27,broken clouds
100,Kavieng,PG,-2.5744,150.7967,82.45,75,78,9.66,light rain
101,Cayenne,GF,4.9333,-52.3333,78.1,87,75,5.99,mist
102,Benguela,AO,-12.5763,13.4055,81.14,64,97,4.76,overcast clouds
103,Inhambane,MZ,-23.865,35.3833,87.78,58,40,13.8,scattered clouds
104,Kendari,ID,-3.945,122.4989,83.66,75,25,3.2,scattered clouds
105,Ambositra,MG,-20.5167,47.25,70.99,76,100,13.31,overcast clouds
106,Atuona,PF,-9.8,-139.0333,77.94,78,4,16.75,clear sky
