City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Utete,TZ,85.62,overcast clouds,-7.986,38.758,River View Lodge
283,Jos,NG,76.14,clear sky,9.9167,8.9,Silk Suites
284,Kalawit,PH,82.58,few clouds,8.0667,122.5167,Ompoy Pension House
291,Richards Bay,ZA,85.59,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
298,Chimoio,MZ,75.06,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
299,Araioses,BR,75.6,light rain,-2.89,-41.9031,Pousada Vale do magu
302,Sabang,ID,82.47,overcast clouds,5.8933,95.3214,Hotel Citra
303,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
305,Grand-Bourg,GP,75.15,clear sky,15.8835,-61.3148,Coco Beach Resort
306,Kourou,GF,78.12,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
307,Faanui,PF,80.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
322,Mackay,AU,79.68,light rain,-21.15,149.2,International Lodge Motel
341,Katoro,TZ,76.87,light rain,-3.0203,31.8958,Mwl. Zena Street
344,Goalpara,IN,78.04,clear sky,26.1667,90.6167,Hotel Moon Moon
346,Murud,IN,81.18,clear sky,18.3258,72.965,On Point Plaza
349,Puerto Escondido,MX,75.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
350,Patiya,BD,78.75,haze,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
354,Inyonga,TZ,75.49,light rain,-6.7167,32.0667,Eden Rock Lodge
363,Eyl,SO,84.24,scattered clouds,7.9803,49.8164,Amiin Hotel
377,Santiago Del Estero,AR,75.27,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
388,Sharjah,AE,80.76,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
391,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
395,Mitsamiouli,KM,82.69,moderate rain,-11.3847,43.2844,Foyer ADM
397,Wad Rawah,SD,85.62,broken clouds,15.1603,33.1397,ود الترابي
400,Cap Malheureux,MU,86.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
401,Port Macquarie,AU,75.16,clear sky,-31.4333,152.9167,Rydges Port Macquarie
402,Vaitape,PF,80.44,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
405,Kota Belud,MY,87.66,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
407,Fomboni,KM,83.1,overcast clouds,-12.28,43.7425,Auberge les abou
416,Sibolga,ID,81.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
418,Namibe,AO,80.56,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
419,Tual,ID,83.35,light rain,-5.6667,132.75,Grand Vilia Hotel
420,Pandhana,IN,84.43,clear sky,21.7,76.2167,ठा. करण सिंह चौहान
428,Bubaque,GW,77.49,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
432,Kaduqli,SD,86.99,few clouds,11.0167,29.7167,Nussyba
435,Bambanglipuro,ID,82.8,broken clouds,-7.95,110.2833,Puri Brata
436,Tuy Hoa,VN,76.21,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
438,Maningrida,AU,83.97,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
445,Broken Hill,AU,87.51,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
448,Manggar,ID,82.31,scattered clouds,-2.8833,108.2667,Guest Hotel
450,Bandarbeyla,SO,78.76,clear sky,9.4942,50.8122,JABIR HOTEL
451,Ellisras,ZA,86.41,few clouds,-23.6649,27.7443,Lapa le le guesthouse
456,Axim,GH,82.31,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
461,Batemans Bay,AU,75.09,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
462,Davila,PH,82.38,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
470,Jijiga,ET,80.19,broken clouds,9.35,42.8,RAMAAS HOTEL
471,Harper,LR,82.15,broken clouds,4.375,-7.7169,Screensaver
474,Mana,GF,75.42,overcast clouds,5.6592,-53.7767,LE SAMANA
483,Phan Thiet,VN,82.89,clear sky,10.9333,108.1,Hotel Saigon-PT
484,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
490,Ziniare,BF,75.24,clear sky,12.5822,-1.2983,Privilège Hôtel de Ziniaré
491,Abu Zabad,SD,82.18,broken clouds,12.35,29.25,حامد محمد نور
492,Tamandare,BR,76.64,few clouds,-8.7597,-35.1047,Pousada 100 Passos
501,Yola,NG,84.02,clear sky,9.2,12.4833,Muna Hotel
503,Shakiso,ET,85.98,few clouds,5.75,38.9167,Bealu Girma Hottel
511,Kawalu,ID,81.82,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
523,Auki,SB,77.94,broken clouds,-8.7676,160.7034,Auki Motel
528,Pathein,MM,89.44,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
531,Chabahar,IR,75.18,clear sky,25.2919,60.643,هتل گدروشیا
536,Lukulu,ZM,78.3,broken clouds,-14.3707,23.242,Ruth Guest House
537,Palauig,PH,81.63,broken clouds,15.435,119.9045,Alperi Botique Resort
538,Mwingi,KE,87.58,clear sky,-0.9344,38.0601,Thorn Tree by The Address
545,Volksrust,ZA,80.46,few clouds,-27.3654,29.8818,Kwa-Dlamathe Guesthouse
548,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
552,Keti Bandar,PK,79.7,clear sky,24.1447,67.4497,Haji laloo memon house
554,Hobyo,SO,81.55,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
555,Kaele,CM,84.76,clear sky,10.1092,14.4508,Hôtel Les Palmiers
558,Innisfail,AU,76.55,light rain,-17.5333,146.0333,Moondarra Motel
559,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
569,Popondetta,PG,76.46,heavy intensity rain,-8.7537,148.2534,Timos Transit House
579,Itarema,BR,77.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
581,Ulladulla,AU,76.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
582,Bharatpur,IN,80.08,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
592,Aurad,IN,88.38,clear sky,18.25,77.4333,krishnakanth boode
593,Salinopolis,BR,77.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
594,Amahai,ID,81.52,light rain,-3.3333,128.9167,HOTEL ISABELA
595,Aden,YE,76.95,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
601,Ilorin,NG,84.07,few clouds,8.5,4.55,Ayala Suite Annex
607,Tevaitoa,PF,81.59,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
610,Metro,ID,85.71,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
611,Kirakira,SB,81.48,overcast clouds,-10.4544,161.9205,SanBiz Lodge
613,Canberra,AU,85.5,broken clouds,-35.2835,149.1281,Novotel Canberra
617,Lamu,KE,86.22,clear sky,-2.2717,40.902,Lamu House
622,Bontang,ID,81.37,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
629,Along,IN,75.22,clear sky,28.1667,94.7667,Hotel West
635,El Copey,CO,75.07,overcast clouds,10.1503,-73.9614,Copey cesar
639,Quelimane,MZ,76.95,thunderstorm with rain,-17.8786,36.8883,Hotel Flamingo
642,Tabou,CI,82.09,scattered clouds,4.423,-7.3528,hotêl doufoulougou
644,Bandar-E Lengeh,IR,75.31,clear sky,26.5579,54.8807,کافی نت پارس
648,Sri Aman,MY,89.65,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
650,Jejuri,IN,83.03,clear sky,18.2833,74.1667,Hotel Malhargad
656,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
657,Diffa,NE,84.52,broken clouds,13.3154,12.6113,ProDAF/Diffa
668,Martapura,ID,86.09,light rain,-3.4167,114.85,Montana Hotel Syariah
673,Rumonge,BI,77.22,light rain,-3.9736,29.4386,Kwetu Guest House
676,Quatre Cocos,MU,86.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
678,Ko Samui,TH,75.11,thunderstorm with light rain,9.5357,99.9357,The Passage
683,Odweyne,SO,82.27,scattered clouds,9.4092,45.064,Eng Hiirey House
684,Nabire,ID,77.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
687,Charters Towers,AU,77.9,moderate rain,-20.1,146.2667,Cattleman's Rest Motor Inn
697,Poso,ID,83.79,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
701,Barabai,ID,81.09,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
706,Sorong,ID,81.95,moderate rain,-0.8833,131.25,Waigo Splash Hotel
712,Bodden Town,KY,77.94,clear sky,19.2833,-81.25,Will T Place
