City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tual,ID,2022-02-15 21:52:38,-5.6667,132.75,81.41,74,13,3.51
68,Beringovskiy,RU,2022-02-15 21:52:39,63.05,179.3167,-14.28,96,100,15.37
69,Pisco,PE,2022-02-15 21:47:46,-13.7,-76.2167,77.05,61,0,25.32
70,Tasiilaq,GL,2022-02-15 21:52:39,65.6145,-37.6368,24.08,90,100,23.53
71,Marsh Harbour,BS,2022-02-15 21:52:40,26.5412,-77.0636,69.39,62,100,24.09
72,Whitehorse,CA,2022-02-15 21:49:32,60.7161,-135.0538,27.1,70,100,3.44
73,Yangambi,CD,2022-02-15 21:52:40,0.8102,24.4336,75.92,63,76,3.78
74,Katsuura,JP,2022-02-15 21:52:41,35.1333,140.3,38.1,57,0,22.82
75,Vao,NC,2022-02-15 21:52:41,-22.6667,167.4833,78.39,76,90,20.18
76,Araouane,ML,2022-02-15 21:52:41,18.9048,-3.5265,65.39,16,26,10.45
77,Hermanus,ZA,2022-02-15 21:52:42,-34.4187,19.2345,68.81,83,66,8.9
78,Masty,BY,2022-02-15 21:52:42,53.4122,24.5387,36.05,93,100,7.56
79,Alta Floresta,BR,2022-02-15 21:52:43,-9.8756,-56.0861,73.89,96,65,3.69
80,Salumbar,IN,2022-02-15 21:52:43,24.1333,74.05,61.88,41,0,4.45
81,Mar Del Plata,AR,2022-02-15 21:49:10,-38.0023,-57.5575,91.42,38,0,16.11
82,Airai,TL,2022-02-15 21:52:44,-8.9266,125.4092,57.58,80,96,2.21
83,Hilo,US,2022-02-15 21:52:44,19.7297,-155.09,77.11,66,100,8.01
84,Yellowknife,CA,2022-02-15 21:52:45,62.456,-114.3525,-15.72,69,0,9.22
85,Puerto Quijarro,BO,2022-02-15 21:52:45,-17.7833,-57.7667,86.38,62,97,2.62
86,Avarua,CK,2022-02-15 21:52:46,-21.2078,-159.775,80.65,78,40,11.5
87,Cidreira,BR,2022-02-15 21:52:46,-30.1811,-50.2056,72.57,74,0,7.18
88,Atherton,GB,2022-02-15 21:52:47,53.5237,-2.4935,46.11,86,100,1.99
89,Upington,ZA,2022-02-15 21:52:47,-28.4478,21.2561,71.98,88,74,3.44
90,Cerritos,US,2022-02-15 21:49:57,33.8583,-118.0648,63.37,62,75,19.57
91,Tuktoyaktuk,CA,2022-02-15 21:53:48,69.4541,-133.0374,-27.4,75,40,11.5
92,Kayerkan,RU,2022-02-15 21:53:48,69.3497,87.7602,-14.96,80,39,3.8
93,Nishihara,JP,2022-02-15 21:53:49,26.1842,127.7558,60.08,72,75,13.8
94,Arraial Do Cabo,BR,2022-02-15 21:53:49,-22.9661,-42.0278,80.56,89,40,13.8
95,Padang,ID,2022-02-15 21:53:50,-0.9492,100.3543,75.25,86,86,3.98
96,Severo-Kurilsk,RU,2022-02-15 21:53:50,50.6789,156.125,27.28,71,100,11.54
97,Benjamin Aceval,PY,2022-02-15 21:53:50,-24.9667,-57.5667,98.74,26,7,3.06
98,Nome,US,2022-02-15 21:53:51,64.5011,-165.4064,-4.9,64,33,3.53
99,Mitchell,US,2022-02-15 21:53:51,43.7094,-98.0298,47.1,43,100,5.99
100,Kapaa,US,2022-02-15 21:53:52,22.0752,-159.319,76.98,67,60,5.99
101,Port Hardy,CA,2022-02-15 21:53:52,50.6996,-127.4199,48.38,66,100,9.22
102,Zhigansk,RU,2022-02-15 21:53:52,66.7697,123.3711,-40.5,100,42,1.66
103,Russell,US,2022-02-15 21:53:53,32.3502,-85.1999,67.71,22,0,9.22
104,Hami,CN,2022-02-15 21:53:53,42.8,93.45,30.99,55,100,6.42
105,Cape Town,ZA,2022-02-15 21:52:41,-33.9258,18.4232,71.89,75,40,9.22
106,Bredasdorp,ZA,2022-02-15 21:53:54,-34.5322,20.0403,68.29,83,34,9.22
107,Esperance,AU,2022-02-15 21:53:54,-33.8667,121.9,57.04,75,0,4.9
108,Laguna,US,2022-02-15 21:53:55,38.421,-121.4238,65.23,31,0,23.02
109,Sandnessjoen,NO,2022-02-15 21:53:55,66.0217,12.6316,31.98,60,75,18.41
110,Longyearbyen,SJ,2022-02-15 21:53:56,78.2186,15.6401,17.44,93,75,2.3
111,Shingu,JP,2022-02-15 21:53:56,33.7333,135.9833,41.92,74,7,10.38
112,Kabare,CD,2022-02-15 21:53:56,-2.4683,28.8242,61.81,92,100,1.16
113,Ponta Delgada,PT,2022-02-15 21:53:57,37.7333,-25.6667,64.51,82,40,11.5
114,Tigil,RU,2022-02-15 21:53:57,57.8,158.6667,-13.32,93,88,3.27
115,Udachnyy,RU,2022-02-15 21:53:57,66.4167,112.4,-34.47,100,100,3.65
